estado,municipio,zona_sismica_CFE,grado_peligro_inundacion_CENAPRED,grado_vulnerabilidad_social_CENAPRED,tiene_ARM
Michoacán,Morelos,C,Bajo,Medio,No
Michoacán,Múgica,D,Alto,Alto,No
Michoacán,Nahuatzen,C,Bajo,Alto,No
Michoacán,Nocupétaro,D,Medio,Alto,No
Michoacán,Nuevo Parangaricutiro,D,Bajo,Alto,No
Michoacán,Nuevo Urecho,D,Medio,Alto,No
Michoacán,Numarán,C,Medio,Medio,No
Michoacán,Ocampo,C,Bajo,Medio,No
Michoacán,Pajacuarán,C,Alto,Medio,No
Michoacán,Panindícuaro,C,Bajo,Medio,No
Michoacán,Parácuaro,D,Medio,Alto,No
Michoacán,Paracho,C,Bajo,Alto,No
Michoacán,Pátzcuaro,C,Bajo,Bajo,Sí
Michoacán,Penjamillo,C,Bajo,Medio,No
Michoacán,Peribán,C,Bajo,Medio,No
Michoacán,La Piedad,C,Alto,Bajo,Sí
Michoacán,Purépero,C,Bajo,Medio,No
Michoacán,Puruarán,D,Medio,Alto,No
Michoacán,Queréndaro,C,Bajo,Bajo,No
Michoacán,Quiroga,C,Bajo,Bajo,No
Michoacán,Cojumatlán de Régules,C,Alto,Bajo,No
Michoacán,Sahuayo,C,Medio,Bajo,Sí
Michoacán,San Lucas,D,Medio,Alto,No
Michoacán,Santa Ana Maya,C,Medio,Bajo,No
Michoacán,Salvador Escalante,C,Bajo,Medio,No
Michoacán,Senguio,C,Bajo,Medio,No
Michoacán,Susupuato,C,Bajo,Alto,No
Michoacán,Tacámbaro,C,Bajo,Medio,No
Michoacán,Tancítaro,D,Medio,Alto,No
Michoacán,Tangamandapio,C,Bajo,Medio,No
Michoacán,Tangancícuaro,C,Bajo,Medio,No
Michoacán,Tanhuato,C,Medio,Medio,No
Michoacán,Taretan,C,Bajo,Medio,No
Michoacán,Tarímbaro,C,Bajo,Bajo,No
Michoacán,Tepalcatepec,D,Medio,Alto,No
Michoacán,Tingambato,C,Bajo,Medio,No
Michoacán,Tingüindín,C,Bajo,Medio,No
Michoacán,Tiquicheo de Nicolás Romero,D,Alto,Alto,No
Michoacán,Tlalpujahua,C,Bajo,Medio,Sí
Michoacán,Tlazazalca,C,Bajo,Medio,No
Michoacán,Tocumbo,C,Bajo,Medio,No
Michoacán,Tumbiscatío,D,Medio,Muy alto,No
Michoacán,Turicato,D,Medio,Alto,No
Michoacán,Tuxpan,C,Bajo,Medio,No
Michoacán,Tuzantla,D,Alto,Alto,No
Michoacán,Tzintzuntzan,C,Bajo,Medio,No
Michoacán,Tzitzio,D,Medio,Alto,No
Michoacán,Uruapan,D,Medio,Bajo,Sí
Michoacán,Venustiano Carranza,C,Medio,Medio,No
Michoacán,Villamar,C,Medio,Bajo,No
Michoacán,Vista Hermosa,C,Medio,Medio,No
Michoacán,Yurécuaro,C,Alto,Bajo,No
Michoacán,Zacapu,C,Bajo,Bajo,Sí
Michoacán,Zamora,C,Medio,Bajo,Sí
Michoacán,Zináparo,C,Bajo,Medio,No
Michoacán,Zinapécuaro,C,Bajo,Bajo,No
Michoacán,Ziracuaretiro,C,Bajo,Medio,No
Michoacán,Zitácuaro,C,Bajo,Bajo,Sí
Michoacán,José Sixto Verduzco,C,Medio,Bajo,No
